,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
141,2016,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322016,56,4.307,39.089,43.214,0,241.17399999999998,19,65,2189,151,4,2420
142,2016,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522016,74,4.332,39.0,42.635,0,320.58899999999994,34,72,2886,209,3,3155
143,2016,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692016,70,4.715,42.671,45.929,0,330.05,37,59,2987,128,5,3215
144,2016,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292016,48,4.467,41.708,46.729,0,214.397,21,68,2002,221,1,2243
145,2016,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142016,76,4.349,38.645,45.789,0,330.519,31,76,2937,383,8,3480
146,2016,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732016,57,4.474,42.351,48.263,0,255.004,22,66,2414,237,5,2751
147,2016,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92016,100,4.509,39.77,44.02,0,450.91100000000006,28,65,3977,345,4,4402
148,2016,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2016,80,4.37,37.423,41.91,2,340.84400000000005,25,62,2919,310,2,3269
149,2016,2eff2a03-54d4-46ba-890e-2bc3925548f3,2eff2a03-54d4-46ba-890e-2bc3925548f32016,98,4.38,46.0,47.755,0,429.2679999999999,51,78,4508,152,1,4680
150,2016,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82016,72,4.248,39.859,44.028,1,301.60200000000003,26,64,2830,236,3,3126
151,2017,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242017,79,4.212,40.494,44.671,0,332.731,28,60,3199,210,6,3529
152,2017,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062017,83,4.353,40.663,44.518,0,361.2710000000001,30,64,3375,220,5,3695
153,2017,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32017,94,4.188,40.5,46.574,0,393.696,33,70,3807,491,4,4378
154,2017,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2017,58,4.089,40.517,43.362,0,237.18,24,60,2350,105,3,2515
155,2017,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232017,89,4.147,41.261,46.602,1,364.93,32,63,3631,410,3,4101
156,2017,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2017,82,4.197,40.802,47.247,1,339.91900000000004,24,67,3305,482,2,3827
157,2017,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2017,85,4.296,40.81,44.821,1,360.88199999999995,40,67,3428,277,3,3765
158,2017,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982017,64,4.427,39.781,43.172,0,283.33799999999997,26,62,2546,177,2,2763
159,2017,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92017,85,4.381,43.143,44.81,1,368.01499999999993,28,61,3624,80,3,3764
160,2017,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2017,88,4.316,39.391,44.08,1,375.501,29,65,3427,228,9,3835
161,2017,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72017,92,4.296,41.293,48.989,0,395.27299999999997,32,68,3799,608,5,4507
162,2017,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152017,75,4.268,44.56,49.707,0,320.1350000000001,28,74,3342,286,5,3728
